formulaA,formulaB,formulaA_elements_AtomicVolume,formulaB_elements_AtomicVolume,formulaA_elements_AtomicWeight,formulaB_elements_AtomicWeight,formulaA_elements_BoilingT,formulaB_elements_BoilingT,formulaA_elements_BulkModulus,formulaB_elements_BulkModulus,formulaA_elements_Column,formulaB_elements_Column,formulaA_elements_CovalentRadius,formulaB_elements_CovalentRadius,formulaA_elements_Density,formulaB_elements_Density,formulaA_elements_ElectronSurfaceDensityWS,formulaB_elements_ElectronSurfaceDensityWS,formulaA_elements_Electronegativity,formulaB_elements_Electronegativity,formulaA_elements_FirstIonizationEnergy,formulaB_elements_FirstIonizationEnergy,formulaA_elements_GSbandgap,formulaB_elements_GSbandgap,formulaA_elements_GSenergy_pa,formulaB_elements_GSenergy_pa,formulaA_elements_GSestBCClatcnt,formulaB_elements_GSestBCClatcnt,formulaA_elements_GSestFCClatcnt,formulaB_elements_GSestFCClatcnt,formulaA_elements_GSmagmom,formulaB_elements_GSmagmom,formulaA_elements_GSvolume_pa,formulaB_elements_GSvolume_pa,formulaA_elements_HHIp,formulaB_elements_HHIp,formulaA_elements_HHIr,formulaB_elements_HHIr,formulaA_elements_HeatCapacityMass,formulaB_elements_HeatCapacityMass,formulaA_elements_HeatCapacityMolar,formulaB_elements_HeatCapacityMolar,formulaA_elements_HeatFusion,formulaB_elements_HeatFusion,formulaA_elements_ICSDVolume,formulaB_elements_ICSDVolume,formulaA_elements_IsAlkali,formulaB_elements_IsAlkali,formulaA_elements_IsDBlock,formulaB_elements_IsDBlock,formulaA_elements_IsFBlock,formulaB_elements_IsFBlock,formulaA_elements_IsMetal,formulaB_elements_IsMetal,formulaA_elements_IsMetalloid,formulaB_elements_IsMetalloid,formulaA_elements_IsNonmetal,formulaB_elements_IsNonmetal,formulaA_elements_MeltingT,formulaB_elements_MeltingT,formulaA_elements_MendeleevNumber,formulaB_elements_MendeleevNumber,formulaA_elements_MiracleRadius,formulaB_elements_MiracleRadius,formulaA_elements_NUnfilled,formulaB_elements_NUnfilled,formulaA_elements_NValance,formulaB_elements_NValance,formulaA_elements_NdUnfilled,formulaB_elements_NdUnfilled,formulaA_elements_NdValence,formulaB_elements_NdValence,formulaA_elements_NfUnfilled,formulaB_elements_NfUnfilled,formulaA_elements_NfValence,formulaB_elements_NfValence,formulaA_elements_NpUnfilled,formulaB_elements_NpUnfilled,formulaA_elements_NpValence,formulaB_elements_NpValence,formulaA_elements_NsUnfilled,formulaB_elements_NsUnfilled,formulaA_elements_NsValence,formulaB_elements_NsValence,formulaA_elements_Number,formulaB_elements_Number,formulaA_elements_Polarizability,formulaB_elements_Polarizability,formulaA_elements_Row,formulaB_elements_Row,formulaA_elements_ShearModulus,formulaB_elements_ShearModulus,formulaA_elements_SpaceGroupNumber,formulaB_elements_SpaceGroupNumber,avg_coordination_A,avg_coordination_B,avg_nearest_neighbor_distance_A,avg_nearest_neighbor_distance_B,stabilityVec
Ac,Ag,37.4330863,17.07564795,227,107.8682,3473,2435,0,100,3,11,215,145,10070,10490,0,1.36,1.1,1.93,5.17,7.57623,0,0,-4.105002298,-2.76539356,4.465163104,3.196480506,5.625752986,4.027313074,0,0,44.5125,16.33,0,1200,0,1400,0.12,0.235,27.2,25.35,12,11.3,37.45,17.05,0,0,0,1,1,0,1,1,0,0,0,0,1323,1234.93,14,65,0,144,9,1,3,11,9,0,1,10,0,0,0,0,0,0,0,0,0,1,2,1,89,47,32.1,6.99,7,5,0,30,225,225,12,12,3.99462,2.94195,"[1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0]"
Ac,Al,37.4330863,16.59442452,227,26.9815386,3473,2792,0,76,3,13,215,121,10070,2700,0,1.39,1.1,1.61,5.17,5.985768,0,0,-4.105002298,-3.74542312,4.465163104,3.206237833,5.625752986,4.039606536,0,0,44.5125,16.48,0,1600,0,1000,0.12,0.897,27.2,24.2,12,10.71,37.45,16.61,0,0,0,0,1,0,1,1,0,0,0,0,1323,933.47,14,73,0,141,9,5,3,3,9,0,1,0,0,0,0,0,0,5,0,1,0,0,2,2,89,13,32.1,6.8,7,3,0,26,225,225,12,12,3.99462,2.85595,"[1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Ac,As,37.4330863,21.72396574,227,74.9216,3473,887,0,22,3,15,215,119,10070,5727,0,1.44,1.1,2.18,5.17,9.7886,0,0,-4.105002298,-4.650889115,4.465163104,3.539684396,5.625752986,4.459722881,0,0,44.5125,22.175,0,3300,0,4000,0.12,0.329,27.2,24.64,12,24.44,37.45,21.52,0,0,0,0,1,0,1,1,0,1,0,0,1323,1090,14,84,0,115,9,3,3,15,9,0,1,10,0,0,0,0,0,3,0,3,0,0,2,2,89,33,32.1,4.31,7,4,0,0,225,166,12,3,3.99462,2.5579,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Ac,Ba,37.4330863,64.96928167,227,137.327,3473,2143,0,9.6,3,2,215,215,10070,3510,0,0.81,1.1,0.89,5.17,5.211664,0,0,-4.105002298,-1.92352226,4.465163104,5.028899311,5.625752986,6.3360161,0,0,44.5125,63.59,0,3000,0,2300,0.12,0.204,27.2,28.07,12,7.12,37.45,62.88,0,1,0,0,1,0,1,1,0,0,0,0,1323,1000,14,9,0,223,9,0,3,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,89,56,32.1,39.7,7,6,0,4.9,225,229,12,8,3.99462,4.35637,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Ac,Bi,37.4330863,35.48345908,227,208.9804,3473,1837,0,31,3,15,215,148,10070,9780,0,1.16,1.1,2.02,5.17,7.2855,0,0,-4.105002298,-3.9736944,4.465163104,4.039197959,5.625752986,5.089070533,0,0,44.5125,32.95,0,5300,0,6000,0.12,0.122,27.2,25.52,12,11.106,37.45,35.38,0,0,0,0,1,0,1,1,0,0,0,0,1323,544.4,14,86,0,162,9,3,3,29,9,0,1,10,0,0,0,14,0,3,0,3,0,0,2,2,89,83,32.1,0.4,7,6,0,12,225,12,12,3,3.99462,3.11221,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Ac,Br,37.4330863,42.52782532,227,79.904,3473,332,0,1.9,3,17,215,120,10070,3120,0,0,1.1,2.96,5.17,11.8138,0,1.457,-4.105002298,-1.583025338,4.465163104,3.892116444,5.625752986,4.903759436,0,0,44.5125,29.48,0,3300,0,6900,0.12,0.474,27.2,75.69,12,5.285,37.45,65.14,0,0,0,0,1,0,1,0,0,0,0,1,1323,265.8,14,95,0,0,9,1,3,17,9,0,1,10,0,0,0,0,0,1,0,5,0,0,2,2,89,35,32.1,3.05,7,4,0,0,225,64,12,1,3.99462,2.38875,"[1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Ac,C,37.4330863,8.825089715,227,12.0107,3473,4300,0,33,3,14,215,76,10070,2260,0,1.77,1.1,2.55,5.17,11.2603,0,4.496,-4.105002298,-9.209713655,4.465163104,2.242692341,5.625752986,2.825615289,0,0,44.5125,5.64,0,500,0,500,0.12,0.709,27.2,8.517,12,117.4,37.45,5.67,0,0,0,0,1,0,1,0,0,0,0,1,1323,3823,14,77,0,77,9,4,3,4,9,0,1,0,0,0,0,0,0,4,0,2,0,0,2,2,89,6,32.1,1.67,7,2,0,0,225,194,12,3,3.99462,1.42409,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Ac,Ca,37.4330863,42.9371873,227,40.078,3473,1757,0,17,3,2,215,176,10070,1550,0,0.91,1.1,1,5.17,6.11316,0,0,-4.105002298,-1.948329565,4.465163104,4.227260324,5.625752986,5.326014266,0,0,44.5125,37.77,0,3900,0,1500,0.12,0.647,27.2,25.929,12,8.54,37.45,44.19,0,1,0,0,1,0,1,1,0,0,0,0,1323,1115,14,7,0,201,9,0,3,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,89,20,32.1,25.73333333,7,4,0,7.4,225,225,12,12,3.99462,3.89661,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Ac,Eu,37.4330863,48.12129236,227,151.964,3473,1800,0,8.3,3,3,215,198,10070,5244,0,0.88,1.1,1.185,5.17,5.67038,0,0,-4.105002298,-1.82958684,4.465163104,4.177811939,5.625752986,5.263713205,0,0,44.5125,36.46,0,9500,0,3100,0.12,0.182,27.2,27.66,12,9.21,37.45,48.53,0,0,0,0,1,1,1,1,0,0,0,0,1323,1095,14,25,0,196,9,7,3,9,9,0,1,0,0,7,0,7,0,0,0,0,0,0,2,2,89,63,32.1,27.7,7,6,0,7.9,225,229,12,12,3.99462,4.00957,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
Ac,Fe,37.4330863,11.77736497,227,55.845,3473,3134,0,170,3,8,215,132,10070,7874,0,1.77,1.1,1.83,5.17,7.9024,0,0,-4.105002298,-8.28548436,4.465163104,2.778923379,5.625752986,3.501224062,0,2.1106628,44.5125,10.73,0,2400,0,1400,0.12,0.449,27.2,25.1,12,13.81,37.45,11.78,0,0,0,1,1,0,1,1,0,0,0,0,1323,1811,14,55,0,125,9,4,3,8,9,4,1,6,0,0,0,0,0,0,0,0,0,0,2,2,89,26,32.1,8.4,7,4,0,82,225,229,12,8,3.99462,2.46654,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
